Geo Code,Geo Name,Line Number
"01","Canada",2
"10","Newfoundland and Labrador",1055
"10001","Avalon",2108
"10002","Bonavista--Burin--Trinity",3161
"10003","Coast of Bays--Central--Notre Dame",4214
"10004","Labrador",5267
"10005","Long Range Mountains",6320
"10006","St. John's East",7373
"10007","St. John's South--Mount Pearl",8426
"11","Prince Edward Island",9479
"11001","Cardigan",10532
"11002","Charlottetown",11585
"11003","Egmont",12638
"11004","Malpeque",13691
"12","Nova Scotia",14744
"12001","Cape Breton--Canso",15797
"12002","Central Nova",16850
"12003","Cumberland--Colchester",17903
"12004","Dartmouth--Cole Harbour",18956
"12005","Halifax",20009
"12006","Halifax West",21062
"12007","Kings--Hants",22115
"12008","Sackville--Preston--Chezzetcook",23168
"12009","South Shore--St. Margarets",24221
"12010","Sydney--Victoria",25274
"12011","West Nova",26327
"13","New Brunswick",27380
"13001","Acadie--Bathurst",28433
"13002","Beauséjour",29486
"13003","Fredericton",30539
"13004","Fundy Royal",31592
"13005","Madawaska--Restigouche",32645
"13006","Miramichi--Grand Lake",33698
"13007","Moncton--Riverview--Dieppe",34751
"13008","New Brunswick Southwest",35804
"13009","Saint John--Rothesay",36857
"13010","Tobique--Mactaquac",37910
"24","Quebec",38963
"24001","Abitibi--Baie-James--Nunavik--Eeyou",40016
"24002","Abitibi--Témiscamingue",41069
"24003","Ahuntsic-Cartierville",42122
"24004","Alfred-Pellan",43175
"24005","Argenteuil--La Petite-Nation",44228
"24006","Avignon--La Mitis--Matane--Matapédia",45281
"24007","Beauce",46334
"24008","Beauport--Limoilou",47387
"24009","Bécancour--Nicolet--Saurel",48440
"24010","Bellechasse--Les Etchemins--Lévis",49493
"24011","Beloeil--Chambly",50546
"24012","Berthier--Maskinongé",51599
"24013","Thérèse-De Blainville",52652
"24014","Pierre-Boucher--Les Patriotes--Verchères",53705
"24015","Bourassa",54758
"24016","Brome--Missisquoi",55811
"24017","Brossard--Saint-Lambert",56864
"24018","Rimouski-Neigette--Témiscouata--Les Basques",57917
"24019","Charlesbourg--Haute-Saint-Charles",58970
"24020","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix",60023
"24021","Châteauguay--Lacolle",61076
"24022","Chicoutimi--Le Fjord",62129
"24023","Compton--Stanstead",63182
"24024","Dorval--Lachine--LaSalle",64235
"24025","Drummond",65288
"24026","Gaspésie--Les Îles-de-la-Madeleine",66341
"24027","Gatineau",67394
"24028","Hochelaga",68447
"24029","Honoré-Mercier",69500
"24030","Hull--Aylmer",70553
"24031","Joliette",71606
