Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income,,,,,,,,,,,,,,,,,,
10,10001,Avalon,72030,3433042000 ,3182566000 ,3077999000 ,,,,,,,,,,,,,,,,,,
10,10002,Bonavista--Burin--Trinity,64180,2487091000 ,2330284000 ,2216249000 ,,,,,,,,,,,,,,,,,,
10,10003,Coast of Bays--Central--Notre Dame,66890,2545490000 ,2370038000 ,2258277000 ,,,,,,,,,,,,,,,,,,
10,10004,Labrador,20770,1201446000 ,1117784000 ,1035198000 ,,,,,,,,,,,,,,,,,,
10,10005,Long Range Mountains,75140,2848331000 ,2653010000 ,2525098000 ,,,,,,,,,,,,,,,,,,
10,10006,St. John's East,66970,3824579000 ,3505067000 ,3424509000 ,,,,,,,,,,,,,,,,,,
10,10007,St. John's South--Mount Pearl,67420,3229245000 ,2977379000 ,2881272000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,433410,19569223000 ,18136128000 ,17418601000 ,,,,,,,,,,,,,,,,,,
11,11001,Cardigan,29570,1203686000 ,1111926000 ,1079133000 ,,,,,,,,,,,,,,,,,,
11,11002,Charlottetown,28770,1169359000 ,1075773000 ,1038691000 ,,,,,,,,,,,,,,,,,,
11,11003,Egmont,29680,1088288000 ,1013041000 ,968447000 ,,,,,,,,,,,,,,,,,,
11,11004,Malpeque,27700,1138097000 ,1047892000 ,1019380000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,115700,4599431000 ,4248632000 ,4105651000 ,,,,,,,,,,,,,,,,,,
12,12001,Cape Breton--Canso,58770,2218358000 ,2059026000 ,1967065000 ,,,,,,,,,,,,,,,,,,
12,12002,Central Nova,58850,2353212000 ,2174650000 ,2098727000 ,,,,,,,,,,,,,,,,,,
12,12003,Cumberland--Colchester,65410,2402724000 ,2229097000 ,2149292000 ,,,,,,,,,,,,,,,,,,
12,12004,Dartmouth--Cole Harbour,73530,3324292000 ,3027115000 ,2957450000 ,,,,,,,,,,,,,,,,,,
12,12005,Halifax,71410,3618078000 ,3327812000 ,3252847000 ,,,,,,,,,,,,,,,,,,
12,12006,Halifax West,73070,3697981000 ,3376814000 ,3320116000 ,,,,,,,,,,,,,,,,,,
12,12007,Kings--Hants,68570,2699764000 ,2494560000 ,2422182000 ,,,,,,,,,,,,,,,,,,
12,12008,Sackville--Preston--Chezzetcook,69230,3202867000 ,2926703000 ,2881705000 ,,,,,,,,,,,,,,,,,,
12,12009,South Shore--St. Margarets,77840,3185422000 ,2931420000 ,2827743000 ,,,,,,,,,,,,,,,,,,
12,12010,Sydney--Victoria,61820,2147803000 ,1998062000 ,1902269000 ,,,,,,,,,,,,,,,,,,
12,12011,West Nova,69590,2448121000 ,2274914000 ,2176433000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,748080,31298623000 ,28820174000 ,27955828000 ,,,,,,,,,,,,,,,,,,
13,13001,Acadie--Bathurst,68250,2391398000 ,2229739000 ,2121674000 ,,,,,,,,,,,,,,,,,,
13,13002,Beauséjour,68700,2747456000 ,2534714000 ,2456489000 ,,,,,,,,,,,,,,,,,,
13,13003,Fredericton,63670,2820138000 ,2559589000 ,2510609000 ,,,,,,,,,,,,,,,,,,
13,13004,Fundy Royal,63930,2760940000 ,2532603000 ,2477432000 ,,,,,,,,,,,,,,,,,,
13,13005,Madawaska--Restigouche,52070,1784250000 ,1655602000 ,1568532000 ,,,,,,,,,,,,,,,,,,
13,13006,Miramichi--Grand Lake,48610,1609786000 ,1502260000 ,1434204000 ,,,,,,,,,,,,,,,,,,
13,13007,Moncton--Riverview--Dieppe,74100,3009398000 ,2765353000 ,2691013000 ,,,,,,,,,,,,,,,,,,
13,13008,New Brunswick Southwest,52870,2144099000 ,1970919000 ,1912584000 ,,,,,,,,,,,,,,,,,,
13,13009,Saint John--Rothesay,63510,2622513000 ,2417225000 ,2343501000 ,,,,,,,,,,,,,,,,,,
13,13010,Tobique--Mactaquac,55580,2014958000 ,1872894000 ,1802424000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,611300,23904935000 ,22040897000 ,21318462000 ,,,,,,,,,,,,,,,,,,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,62480,2432949000 ,2240968000 ,2087789000 ,,,,,,,,,,,,,,,,,,
24,24002,Abitibi--Témiscamingue,83750,3482877000 ,3206076000 ,3059037000 ,,,,,,,,,,,,,,,,,,
24,24003,Ahuntsic-Cartierville,90230,3622677000 ,3325329000 ,3180008000 ,,,,,,,,,,,,,,,,,,
24,24004,Alfred-Pellan,80400,3632443000 ,3318671000 ,3224771000 ,,,,,,,,,,,,,,,,,,
24,24005,Argenteuil--La Petite-Nation,79010,2978283000 ,2733468000 ,2604327000 ,,,,,,,,,,,,,,,,,,
24,24006,Avignon--La Mitis--Matane--Matapédia,61090,1972929000 ,1832621000 ,1715537000 ,,,,,,,,,,,,,,,,,,
24,24007,Beauce,87410,3324082000 ,3068526000 ,2928711000 ,,,,,,,,,,,,,,,,,,
24,24008,Beauport--Limoilou,78130,2867365000 ,2611381000 ,2478857000 ,,,,,,,,,,,,,,,,,,
24,24009,Bécancour--Nicolet--Saurel,78650,2911918000 ,2664047000 ,2523741000 ,,,,,,,,,,,,,,,,,,
24,24010,Bellechasse--Les Etchemins--Lévis,95310,3994014000 ,3629823000 ,3498467000 ,,,,,,,,,,,,,,,,,,
24,24011,Beloeil--Chambly,92990,4670889000 ,4240172000 ,4142843000 ,,,,,,,,,,,,,,,,,,
24,24012,Berthier--Maskinongé,84900,3010231000 ,2767297000 ,2619385000 ,,,,,,,,,,,,,,,,,,
24,24013,Thérèse-De Blainville,79090,4157265000 ,3793139000 ,3681439000 ,,,,,,,,,,,,,,,,,,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,81650,4534830000 ,4083114000 ,3985502000 ,,,,,,,,,,,,,,,,,,
24,24015,Bourassa,76640,2175834000 ,2033816000 ,1892443000 ,,,,,,,,,,,,,,,,,,
24,24016,Brome--Missisquoi,85290,3537246000 ,3239812000 ,3110834000 ,,,,,,,,,,,,,,,,,,
24,24017,Brossard--Saint-Lambert,86350,4502651000 ,4090135000 ,3979973000 ,,,,,,,,,,,,,,,,,,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,71550,2676466000 ,2457917000 ,2334993000 ,,,,,,,,,,,,,,,,,,
24,24019,Charlesbourg--Haute-Saint-Charles,85820,3700384000 ,3333299000 ,3257793000 ,,,,,,,,,,,,,,,,,,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,78280,3298090000 ,2971727000 ,2876321000 ,,,,,,,,,,,,,,,,,,
24,24021,Châteauguay--Lacolle,79240,3119751000 ,2871319000 ,2771244000 ,,,,,,,,,,,,,,,,,,
24,24022,Chicoutimi--Le Fjord,67210,2720487000 ,2460397000 ,2368304000 ,,,,,,,,,,,,,,,,,,
24,24023,Compton--Stanstead,83260,3321565000 ,3038899000 ,2928695000 ,,,,,,,,,,,,,,,,,,
24,24024,Dorval--Lachine--LaSalle,88430,3391002000 ,3121525000 ,2991440000 ,,,,,,,,,,,,,,,,,,
24,24025,Drummond,82790,3016345000 ,2794681000 ,2662761000 ,,,,,,,,,,,,,,,,,,
